signal_i,entry_i,signal_time,session,style,direction,entry,stop,risk,target_r,range_ratio,excursion_atr,body_frac,entry_time,exit_time,gross_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
23423,23424,2026-01-30 08:45:00+00:00,LONDON,REVERSAL,1,5125.065,5085.922720115048,39.14227988495168,2.0,6.791014608765281,0.701327918188833,0.8124653739612087,2026-01-30 08:50:00+00:00,2026-01-30 09:05:00+00:00,-1.0,-1.013093424846646,stop,92.46509238381181,4.6232546191905906,-4.683788856093872,87.78130352771794
23749,23750,2026-02-02 13:00:00+00:00,NEW_YORK,REVERSAL,-1,4746.718,4798.605148878708,51.8871488787081,2.0,11.446099810876474,0.6558079073350094,0.6207642297996594,2026-02-02 13:05:00+00:00,2026-02-02 13:10:00+00:00,-1.0,-1.009148157304029,stop,87.78130352771794,4.389065176385897,-4.429217035037111,83.35208649268083
24240,24241,2026-02-04 07:55:00+00:00,LONDON,REVERSAL,-1,5084.298,5092.605343244816,8.307343244816366,2.0,2.6303615335579553,0.10413708421848152,0.7102897102897304,2026-02-04 08:00:00+00:00,2026-02-04 09:10:00+00:00,2.0,1.9387975451336683,target,83.35208649268083,4.167604324634041,8.080141033688939,91.43222752636976
24571,24572,2026-02-05 12:30:00+00:00,NEW_YORK,REVERSAL,1,4858.435,4837.6381031382325,20.79689686176789,2.0,3.705662125130257,0.4505969181369304,0.5577915376676954,2026-02-05 12:35:00+00:00,2026-02-05 13:00:00+00:00,-1.0,-1.0233613458406459,stop,91.43222752636976,4.571611376318488,-4.678410370729695,86.75381715564006
25359,25360,2026-02-10 09:10:00+00:00,LONDON,REVERSAL,-1,5051.445,5059.520093150615,8.07509315061543,2.0,0.6461996213145917,0.30443047944412593,0.8081987240395779,2026-02-10 09:15:00+00:00,2026-02-10 12:40:00+00:00,2.0,1.9374441271972818,target,86.75381715564006,4.337690857782003,8.404033678007082,95.15785083364715
25424,25425,2026-02-10 14:35:00+00:00,NEW_YORK,REVERSAL,-1,5062.095,5077.311183186713,15.216183186712442,2.0,0.8703147699757926,1.4172478416500804,0.7500000000000652,2026-02-10 14:40:00+00:00,2026-02-10 14:45:00+00:00,2.0,1.9667321631326016,target,95.15785083364715,4.757892541682358,9.357500290455414,104.51535112410257
25920,25921,2026-02-12 09:55:00+00:00,LONDON,REVERSAL,-1,5072.735,5080.3535882660435,7.618588266043844,2.0,0.45478766567486717,0.30670739412737696,0.9132267441860838,2026-02-12 10:00:00+00:00,2026-02-12 10:45:00+00:00,2.0,1.9334163387906227,target,104.51535112410257,5.2257675562051285,10.10358437588894,114.61893549999151
25981,25982,2026-02-12 15:00:00+00:00,NEW_YORK,REVERSAL,1,5053.415,5038.093360022912,15.321639977088125,2.0,0.4889563311414606,1.291541824999182,0.6392663043478052,2026-02-12 15:05:00+00:00,2026-02-12 16:10:00+00:00,-1.0,-1.0329822069149048,stop,114.61893549999151,5.730946774999576,-5.919966047350918,108.6989694526406
26241,26242,2026-02-13 13:40:00+00:00,NEW_YORK,REVERSAL,-1,4983.668,4995.35288879104,11.684888791040066,2.0,0.9411566346315926,0.46130630314749205,0.7228054298642488,2026-02-13 13:45:00+00:00,2026-02-13 14:05:00+00:00,-1.0,-1.042650538564145,stop,108.6989694526406,5.43494847263203,-5.666751952058163,103.03221750058243
27270,27271,2026-02-19 09:55:00+00:00,LONDON,REVERSAL,-1,4995.445,5002.3868085476815,6.9418085476818305,2.0,0.46367718967403393,0.6654500025200555,0.9340659340660643,2026-02-19 10:00:00+00:00,2026-02-19 10:30:00+00:00,2.0,1.9280382775513423,target,103.03221750058243,5.151610875029122,9.93250295810591,112.96472045868835
