candidate,trades,trades_per_30d,end_rm,lowest_rm,max_drawdown_pct,min_month_trades,params
V6-0243,544,22.325581395348838,2.6844219492011274,0.5813433518891032,99.62279262891818,8,"{""body_min"": 0.55, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0251,544,22.325581395348838,2.6844219492011274,0.5813433518891032,99.62279262891818,8,"{""body_min"": 0.55, ""excursion_atr"": 0.1, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0212,574,23.556771545827633,2.496524013219409,0.4696789343052427,99.72495501181098,8,"{""body_min"": 0.55, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-0220,574,23.556771545827633,2.496524013219409,0.4696789343052427,99.72495501181098,8,"{""body_min"": 0.55, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-1191,494,20.27359781121751,2.23674038456994,0.33881597345719766,99.72387498383715,8,"{""body_min"": 0.4, ""excursion_atr"": 0.1, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.16, ""target_scheme"": ""FIXED4""}"
V6-0204,640,26.265389876880985,2.0880788805479367,0.31352226669283645,99.8226025883,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-0196,640,26.265389876880985,2.0880788805479367,0.31352226669283645,99.8226025883,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""DYNAMIC""}"
V6-1155,518,21.258549931600548,2.057339444910916,0.15323463108206564,99.8606602588755,8,"{""body_min"": 0.4, ""excursion_atr"": 0.0, ""mode"": ""ADAPTIVE"", ""range_ratio_cut"": 0.8, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0219,574,23.556771545827633,1.8613140430208313,0.2815775483134298,99.82743214387114,8,"{""body_min"": 0.55, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 8, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
V6-0211,574,23.556771545827633,1.8613140430208313,0.2815775483134298,99.82743214387114,8,"{""body_min"": 0.55, ""excursion_atr"": 0.0, ""mode"": ""REVERSAL"", ""range_ratio_cut"": 1.0, ""retest_bars"": 4, ""sessions"": ""BOTH"", ""stop_buffer_atr"": 0.08, ""target_scheme"": ""FIXED4""}"
