year,feed,entry_time,month,hour_utc,session,technique,direction,direction_text,net_r,gross_r,target_r,reason,h1_bias,h4_bias,h1_align_trade,h4_align_trade,both_align_trade,both_oppose_trade,htf_state,router_mode,h4_adx,h4_adx_band,m15_adx,m15_adx_band,range_atr,range_atr_band,atr
2024,secondary,2024-01-29 12:00:00+00:00,2024-01,12,OTHER,Structural Portfolio MTF,1,LONG,2.9283141115553213,3.0,3.0,target,1,0,True,False,False,False,NEUTRAL_MIX,MIXED,14.831166416194272,<18,25.05629083636169,25+,0.843403107890408,0.6-1.0 ATR,1.7903657051690647
2024,secondary,2024-01-29 16:00:00+00:00,2024-01,16,NEW_YORK,Structural Portfolio MTF,1,LONG,2.4298256302208183,2.468983672599751,3.0,time_exit,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,14.926256539589833,<18,26.513115376371164,25+,0.793851420176798,0.6-1.0 ATR,2.8216867074460112
2024,secondary,2024-01-30 14:00:00+00:00,2024-01,14,NEW_YORK,V1 Legacy M15,1,LONG,1.9572360748325088,2.0,2.0,target,1,1,True,True,True,False,STRONG_ALIGNED,TREND,19.19395549285963,18-22,16.75550876371691,15-20,1.0390366481687234,1.0-1.5 ATR,2.049975815341985
2024,secondary,2024-01-30 17:00:00+00:00,2024-01,17,OTHER,Structural Frequency M15,1,LONG,0.2713780098292108,0.3051386122196784,3.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,21.366131191450094,18-22,23.748159495510368,20-25,0.6966698450117847,0.6-1.0 ATR,3.100464323905886
2024,secondary,2024-01-31 13:45:00+00:00,2024-01,13,NEW_YORK,Outcome First M15,1,LONG,-1.0395759295630684,-1.0,3.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,28.452789856594144,22-30,17.931881953770784,15-20,2.327482812228256,1.5+ ATR,1.8689719112620904
2024,secondary,2024-02-01 10:30:00+00:00,2024-02,10,LONDON,M15-0591 MTF,-1,SHORT,-1.0505108100531002,-1.0,3.0,stop,0,1,False,False,False,False,NEUTRAL_MIX,MIXED,33.86556509534713,30+,24.201719009717028,20-25,1.1929984070908686,1.0-1.5 ATR,2.062031252831893
2024,secondary,2024-02-02 03:15:00+00:00,2024-02,3,ASIA,Structural Portfolio MTF,1,LONG,-1.0785661070574806,-1.0,4.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,32.6288679244256,30+,12.31256850389603,<15,0.8069249037969961,0.6-1.0 ATR,1.8465163151973885
2024,secondary,2024-02-05 03:15:00+00:00,2024-02,3,ASIA,M15-0591 MTF,-1,SHORT,2.9404211652711676,3.0,3.0,target,-1,0,True,False,False,False,NEUTRAL_MIX,MIXED,27.053006901853664,22-30,15.299589363805243,15-20,1.0800558871606316,1.0-1.5 ATR,2.194330893589594
2024,secondary,2024-02-06 06:30:00+00:00,2024-02,6,OTHER,Structural Portfolio MTF,-1,SHORT,-1.0743775107752425,-1.0,3.0,stop,0,-1,False,True,False,False,NEUTRAL_MIX,MIXED,28.440933342283916,22-30,19.266965466861716,15-20,1.0915635943026092,1.0-1.5 ATR,1.456626080513207
2024,secondary,2024-02-07 07:15:00+00:00,2024-02,7,LONDON,Structural Portfolio MTF,1,LONG,-1.0953069615752573,-1.0,3.0,stop,1,0,True,False,False,False,NEUTRAL_MIX,MIXED,22.128004534170373,22-30,14.03821692506458,<15,1.1575123095103454,1.0-1.5 ATR,1.045345254696831
2024,secondary,2024-02-07 09:45:00+00:00,2024-02,9,LONDON,Structural Frequency M15,1,LONG,-1.0566804499060491,-1.0,2.0,stop,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,21.095567284201454,18-22,13.607269720369029,<15,0.8954448552137332,0.6-1.0 ATR,1.2954454908596267
2024,secondary,2024-02-07 13:30:00+00:00,2024-02,13,NEW_YORK,Structural Frequency M15,1,LONG,1.953848923193898,2.0,2.0,target,1,0,True,False,False,False,NEUTRAL_MIX,MIXED,20.3210869608193,18-22,12.808330035564397,<15,1.8062862526191923,1.5+ ATR,1.5888954454691195
2024,secondary,2024-02-08 02:15:00+00:00,2024-02,2,ASIA,V1 Legacy M15,1,LONG,-1.1028346364174655,-1.0,2.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,18.079399389695205,18-22,17.95313229580789,15-20,1.2553792305414875,1.0-1.5 ATR,1.3223095934796274
2024,secondary,2024-02-08 11:15:00+00:00,2024-02,11,LONDON,Outcome First M15,-1,SHORT,1.963340944234667,2.0,2.0,target,1,0,False,False,False,False,NEUTRAL_MIX,MIXED,17.22864552084883,<18,23.047804930730408,20-25,1.9836305761345772,1.5+ ATR,2.0618758599547
2024,secondary,2024-02-08 13:45:00+00:00,2024-02,13,NEW_YORK,M15-0591 MTF,-1,SHORT,-1.0452433794510927,-1.0,4.0,stop,-1,-1,True,True,True,False,ALIGNED_WEAK,MIXED,17.30688291177848,<18,31.13212137262615,25+,1.7884277294023683,1.5+ ATR,2.354022995050881
2024,secondary,2024-02-12 09:00:00+00:00,2024-02,9,LONDON,Outcome First M15,-1,SHORT,-1.0515137420418434,-1.0,3.0,stop,-1,-1,True,True,True,False,ALIGNED_WEAK,MIXED,17.694749104432397,<18,21.43948579443518,20-25,1.396974461005629,1.0-1.5 ATR,1.3815571106509204
2024,secondary,2024-02-12 14:15:00+00:00,2024-02,14,NEW_YORK,M15-0591 MTF,-1,SHORT,-0.2853299453447323,-0.2315881783111245,4.0,time_exit,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,19.038950849374356,18-22,17.077325166183908,15-20,1.1183643311809972,1.0-1.5 ATR,2.0744581486698834
