strategy,month,trades,pnl_rm,ending_balance_rm
V3 Asymmetry M15,2026-08,67,-1.068247547261067,0.7969862709494867
V3 Asymmetry M15,2026-09,38,-0.5611028974596823,0.23588337348980434
A+ M15,2026-02,1,-5.094732948755706,94.9052670512443
Structural A+ M15,2026-02,2,-2.7339765052777665,97.26602349472223
Structural A+ M15,2026-03,1,-5.0011172094448995,92.26490628527733
Structural A+ M15,2026-04,2,3.942389167550317,96.20729545282765
Structural A+ M15,2026-06,2,4.13198588218313,100.33928133501078
Structural A+ M15,2026-09,1,-5.109365802049254,95.22991553296153
Structural Portfolio M15,2026-01,18,78.00753984421684,178.00753984421684
Structural Portfolio M15,2026-02,16,-36.13110764188633,141.8764322023305
Structural Portfolio M15,2026-03,12,53.6329205613896,195.5093527637201
Structural Portfolio M15,2026-04,11,19.980873219193455,215.49022598291356
Structural Portfolio M15,2026-05,13,64.95135007851462,280.4415760614282
Structural Portfolio M15,2026-06,15,54.240249044810696,334.6818251062389
Structural Portfolio M15,2026-07,14,-139.78028308992427,194.9015420163146
Structural Portfolio M15,2026-08,16,14.039222037602883,208.9407640539175
Structural Portfolio M15,2026-09,10,-9.33834740837159,199.6024166455459
Structural Frequency M15,2026-01,17,91.20507804077266,191.20507804077266
Structural Frequency M15,2026-02,17,-19.301823625016283,171.90325441575638
Structural Frequency M15,2026-03,10,15.575368095419435,187.47862251117581
Structural Frequency M15,2026-04,14,17.043812458974656,204.52243497015047
Structural Frequency M15,2026-05,13,-20.29071733604951,184.23171763410096
Structural Frequency M15,2026-06,14,85.84524080296944,270.0769584370704
Structural Frequency M15,2026-07,14,46.59043642916873,316.66739486623914
Structural Frequency M15,2026-08,8,-35.256647660307635,281.4107472059315
Structural Frequency M15,2026-09,6,-43.62702902752892,237.78371817840258
Structural Router M15,2026-01,27,-27.899787628367932,72.10021237163207
Structural Router M15,2026-02,21,-5.106989526282888,66.99322284534918
Structural Router M15,2026-03,20,-19.249519149849476,47.743703695499704
Structural Router M15,2026-04,32,12.833847470676673,60.57755116617638
Structural Router M15,2026-05,23,-28.00171601272178,32.5758351534546
