timestamp,open,high,low,close,volume
2020-03-24T13:25:00Z,1608.005,1610.185,1603.838,1605.128,0.1091
2020-03-24T13:30:00Z,1605.388,1614.341,1601.198,1607.128,0.4522
2020-03-24T13:35:00Z,1607.128,1611.235,1600.205,1600.205,0.2401
2020-03-24T13:40:00Z,1600.205,1607.685,1597.318,1600.205,0.289
2020-03-24T13:45:00Z,1600.205,1600.478,1590.698,1600.318,0.2105
2020-03-24T13:50:00Z,1600.508,1605.028,1597.788,1602.238,0.246
2020-03-24T13:55:00Z,1602.238,1605.128,1598.518,1598.518,0.1769
2020-03-24T14:00:00Z,1598.325,1603.535,1597.038,1597.785,0.1875
2020-03-24T14:05:00Z,1597.785,1605.485,1596.568,1599.388,0.2489
2020-03-24T14:10:00Z,1599.648,1605.86,1597.725,1597.758,0.2671
2020-03-24T14:15:00Z,1601.795,1601.795,1593.325,1597.598,0.3415
2020-03-24T14:20:00Z,1597.598,1600.496,1588.568,1592.038,0.273
2020-03-24T14:25:00Z,1593.208,1600.228,1592.618,1597.305,0.3411
2020-03-24T14:30:00Z,1597.305,1597.605,1584.118,1584.858,0.3427
2020-03-24T14:35:00Z,1584.858,1596.958,1584.858,1596.768,0.2032
2020-03-24T14:40:00Z,1596.478,1598.268,1589.515,1595.688,0.1621
2020-03-24T14:45:00Z,1595.688,1598.398,1595.458,1598.208,0.0759
2020-03-24T14:50:00Z,1598.218,1599.568,1594.205,1598.845,0.1269
2020-03-24T14:55:00Z,1596.698,1599.078,1595.565,1597.628,0.0777
2020-03-24T15:00:00Z,1597.415,1600.188,1596.418,1597.608,0.1341
2020-03-24T15:05:00Z,1597.608,1604.148,1596.448,1601.338,0.1286
2020-03-24T15:10:00Z,1601.248,1608.915,1600.408,1605.238,0.3377
2020-03-24T15:15:00Z,1605.198,1605.618,1602.945,1603.118,0.0603
2020-03-24T15:20:00Z,1603.118,1604.428,1603.118,1603.415,0.0609
2020-03-24T15:25:00Z,1603.415,1604.048,1598.018,1600.398,0.1961
2020-03-24T15:30:00Z,1600.398,1605.438,1598.655,1603.478,0.4108
2020-03-24T15:35:00Z,1603.478,1616.878,1603.068,1615.558,0.2597
2020-03-24T15:40:00Z,1615.558,1618.258,1607.288,1613.168,0.2354
2020-03-24T15:45:00Z,1613.168,1613.168,1607.998,1609.288,0.1012
2020-03-24T15:50:00Z,1609.288,1617.198,1608.048,1611.565,0.266
2020-03-24T15:55:00Z,1611.565,1619.758,1611.565,1614.188,0.1351
2020-03-24T16:00:00Z,1614.138,1616.088,1611.565,1613.648,0.1513
2020-03-24T16:05:00Z,1613.318,1618.431,1609.658,1613.308,0.1109
2020-03-24T16:10:00Z,1614.998,1615.478,1612.808,1613.408,0.1102
2020-03-24T16:15:00Z,1613.508,1617.203,1608.818,1614.608,0.2071
2020-03-24T16:20:00Z,1614.608,1618.035,1610.185,1616.698,0.2205
2020-03-24T16:25:00Z,1616.548,1620.898,1615.938,1619.768,0.1496
2020-03-24T16:30:00Z,1619.928,1622.198,1619.458,1620.728,0.0821
2020-03-24T16:35:00Z,1620.728,1623.658,1620.728,1623.398,0.0796
2020-03-24T16:40:00Z,1623.258,1623.258,1617.938,1622.208,0.061
2020-03-24T16:45:00Z,1622.208,1622.208,1619.128,1620.358,0.0593
2020-03-24T16:50:00Z,1620.358,1621.788,1619.128,1619.648,0.095
2020-03-24T16:55:00Z,1619.648,1622.238,1619.128,1620.708,0.0914
2020-03-24T17:00:00Z,1620.708,1621.318,1615.208,1618.628,0.1079
2020-03-24T17:05:00Z,1618.628,1619.308,1614.125,1619.208,0.1434
2020-03-24T17:10:00Z,1619.008,1625.358,1618.335,1623.708,0.2393
2020-03-24T17:15:00Z,1623.708,1626.818,1621.778,1621.778,0.1971
2020-03-24T17:20:00Z,1621.778,1624.408,1619.708,1620.708,0.1269
2020-03-24T17:25:00Z,1620.608,1625.798,1620.048,1624.521,0.232
2020-03-24T17:30:00Z,1622.608,1625.858,1618.485,1624.438,0.2881
2020-03-24T17:35:00Z,1624.418,1628.448,1623.678,1627.758,0.1018
2020-03-24T17:40:00Z,1627.748,1628.928,1622.685,1628.478,0.1942
