signal_i,signal_time,entry_i,entry_time,direction,entry,stop,risk,target,target_r,impulse_i,impulse_time,broken_level,risk_atr,exit_time,gross_r,net_r,reason,pnl_rm,balance_rm
11688,2026-03-31 14:15:00+00:00,11689,2026-03-31 14:15:00+00:00,1,4614.538,4582.933312017884,31.604687982115138,4709.352063946345,3.0,11687,2026-03-31 13:45:00+00:00,4597.295,1.9333158955089127,2026-04-01 00:30:00+00:00,3.0,2.9853991977310095,target,7.550755392104873,58.13531639717024
11727,2026-04-01 01:00:00+00:00,11728,2026-04-01 01:00:00+00:00,1,4710.495,4697.9022642279915,12.592735772008382,4748.273207316025,3.0,11725,2026-04-01 00:15:00+00:00,4704.505,0.8429174651590213,2026-04-01 01:15:00+00:00,-1.0,-1.0374064467426583,stop,-3.015497600692429,55.119818796477816
11753,2026-04-01 07:30:00+00:00,11754,2026-04-01 07:30:00+00:00,1,4722.885,4706.577470836909,16.307529163091203,4771.807587489274,3.0,11751,2026-04-01 06:45:00+00:00,4712.425,1.1460439691869941,2026-04-01 15:15:00+00:00,3.0,2.9710386230018875,target,8.18815552686005,63.30797432333787
11872,2026-04-02 14:15:00+00:00,11873,2026-04-02 14:15:00+00:00,1,4647.465,4597.604263071197,49.86073692880291,4797.047210786409,3.0,11871,2026-04-02 13:45:00+00:00,4634.915,2.3006127091103483,2026-04-06 01:30:00+00:00,-0.13938823266739628,-0.14870912378586532,time_exit,-0.47072366951408173,62.83725065382379
11940,2026-04-06 08:15:00+00:00,11941,2026-04-06 08:15:00+00:00,1,4689.435,4660.4781189311625,28.9568810688379,4776.305643206514,3.0,11939,2026-04-06 07:45:00+00:00,4678.445,1.9231070534686825,2026-04-06 12:30:00+00:00,-1.0,-1.01619454453279,stop,-3.1927435653927616,59.64450708843103
12088,2026-04-07 23:15:00+00:00,12089,2026-04-07 23:15:00+00:00,1,4817.825,4758.3163418093,59.50865819069986,4996.350974572099,3.0,12087,2026-04-07 22:45:00+00:00,4779.685,2.498038767319364,2026-04-08 09:30:00+00:00,-0.3330607780885441,-0.3411567848655091,time_exit,-1.0174064136588599,58.627100674772166
12132,2026-04-08 10:15:00+00:00,12133,2026-04-08 10:15:00+00:00,-1,4782.115,4805.093080392943,22.97808039294341,4713.18075882117,3.0,12130,2026-04-08 09:30:00+00:00,4790.145,1.562177937150861,2026-04-08 12:15:00+00:00,-1.0,-1.0208116383885077,stop,-2.9923613346891083,55.63473934008306
12240,2026-04-09 14:15:00+00:00,12241,2026-04-09 14:15:00+00:00,1,4770.535,4748.76723997304,21.767760026959877,4835.8382800808795,3.0,12238,2026-04-09 13:30:00+00:00,4759.385,1.8555230672906544,2026-04-09 14:45:00+00:00,-1.0,-1.0219155990055548,stop,-2.8427003989119446,52.792038941171114
12277,2026-04-10 00:30:00+00:00,12278,2026-04-10 00:30:00+00:00,-1,4753.445,4764.560014729133,11.11501472913369,4720.099955812599,3.0,12276,2026-04-10 00:00:00+00:00,4756.695,1.2407288303586737,2026-04-10 01:15:00+00:00,-1.0,-1.042765980215399,stop,-2.7524871117029908,50.039551829468124
12415,2026-04-13 12:00:00+00:00,12416,2026-04-13 12:00:00+00:00,-1,4706.745,4723.337505253713,16.59250525371317,4656.96748423886,3.0,12414,2026-04-13 11:30:00+00:00,4708.135,1.822508975292338,2026-04-13 13:00:00+00:00,-1.0,-1.0283666928413158,stop,-2.5729504213065875,47.46660140816154
