policy,year,trades,wins,wr,exp,pf,freq,dd,end_rm,net_r
C15_EITHER,2018,13,4,30.76923076923077,0.23076923076923078,1.3333333333333333,1.0684931506849316,22.62190625000003,110.23101566671515,3.0
C15_EITHER,2019,49,13,26.53061224489796,0.061224489795918366,1.0833333333333333,4.027397260273973,37.85858991879678,97.07819996466091,3.0
C15_EITHER,2020,52,14,26.923076923076923,0.07692307692307693,1.105263157894737,4.2622950819672125,51.91616144979464,100.75503678832241,4.0
C15_EITHER,2021,52,14,26.923076923076923,0.07692307692307693,1.105263157894737,4.273972602739726,43.11999077235404,100.75503678832243,4.0
C15_EITHER,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
C15_EITHER,2023,66,18,27.27272727272727,0.09090909090909091,1.125,5.424657534246576,55.193356544806505,105.51013536778326,6.0
C15_EITHER,2024,68,23,33.82352941176471,0.35294117647058826,1.5333333333333334,5.573770491803279,43.4137807756327,247.52129363007882,24.0
C15_EITHER,2025,53,17,32.075471698113205,0.2830188679245283,1.4166666666666667,4.3561643835616435,49.646861574836855,169.7903784769416,15.0
C15_EITHER,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
C30_EITHER,2017,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
C30_EITHER,2018,13,4,30.76923076923077,0.23076923076923078,1.3333333333333333,1.0684931506849316,22.62190625000003,110.23101566671515,3.0
C30_EITHER,2019,50,13,26.0,0.04,1.054054054054054,4.10958904109589,37.85858991879678,92.22428996642786,2.0
C30_EITHER,2020,55,14,25.454545454545453,0.01818181818181818,1.024390243902439,4.508196721311475,56.60433570843967,86.38484966638792,1.0
C30_EITHER,2021,54,14,25.925925925925924,0.037037037037037035,1.05,4.438356164383562,45.96399123373634,90.931420701461,2.0
C30_EITHER,2022,53,16,30.18867924528302,0.20754716981132076,1.2972972972972974,4.3561643835616435,44.70358566726383,140.26161700269097,11.0
C30_EITHER,2023,67,18,26.865671641791046,0.07462686567164178,1.1020408163265305,5.506849315068493,55.193356544806505,100.23462859939409,5.0
C30_EITHER,2024,67,24,35.82089552238806,0.43283582089552236,1.6744186046511629,5.491803278688525,43.4137807756327,315.40109437627774,29.0
C30_EITHER,2025,54,18,33.33333333333333,0.3333333333333333,1.5,4.438356164383562,46.99669639456509,195.2589352484829,18.0
C30_EITHER,2026,3,2,66.66666666666666,1.6666666666666667,6.0,3.0083565459610027,5.0,125.63749999999997,5.0
