year,technique,session,direction_text,router_mode,h4_adx_band,trades,net_r_sum,avg_net_r,positive_trade_pct
2026,V1 Legacy M15,ASIA,SHORT,TREND,30+,4,2.917442532833783,0.7293606332084458,50.0
2025,M15-0591 MTF,NEW_YORK,SHORT,TREND,22-30,2,2.9327589094846234,1.4663794547423117,50.0
2024,M15-0591 MTF,ASIA,SHORT,MIXED,22-30,1,2.9404211652711676,2.9404211652711676,100.0
2026,Structural Portfolio MTF,ASIA,SHORT,TREND,22-30,2,2.943625304650716,1.471812652325358,50.0
2026,M15-0591 MTF,OTHER,LONG,TREND,30+,2,2.944708779300341,1.4723543896501705,50.0
2024,Structural Portfolio MTF,ASIA,LONG,MIXED,30+,1,2.9459180812009387,2.9459180812009387,100.0
2025,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,<18,2,2.946338899852736,1.473169449926368,50.0
2026,Structural Frequency M15,NEW_YORK,SHORT,MIXED,<18,3,2.947553664165113,0.9825178880550377,66.66666666666666
2026,M15-0591 MTF,LONDON,SHORT,TREND,22-30,2,2.9511275794588174,1.4755637897294087,50.0
2024,M15-0591 MTF,LONDON,LONG,MIXED,30+,1,2.9518325073697937,2.9518325073697937,100.0
2025,Structural Portfolio MTF,OTHER,SHORT,MIXED,30+,1,2.951841586480359,2.951841586480359,100.0
2026,M15-0591 MTF,OTHER,SHORT,TREND,18-22,2,2.9527710274297254,1.4763855137148627,50.0
2024,M15-0591 MTF,ASIA,SHORT,MIXED,<18,1,2.955330852835863,2.955330852835863,100.0
2025,Outcome First M15,OTHER,LONG,MIXED,<18,1,2.9611473847006295,2.9611473847006295,100.0
2024,Structural Frequency M15,OTHER,LONG,MIXED,<18,1,2.9626250851178186,2.9626250851178186,100.0
2026,M15-0591 MTF,LONDON,SHORT,TREND,30+,2,2.963906515664503,1.4819532578322514,50.0
2026,Outcome First M15,NEW_YORK,LONG,TREND,22-30,1,2.9642298364467417,2.9642298364467417,100.0
2024,M15-0591 MTF,OTHER,SHORT,MIXED,<18,1,2.9648449368369696,2.9648449368369696,100.0
2025,Structural Frequency M15,OTHER,SHORT,TREND,30+,1,2.9680127824931946,2.9680127824931946,100.0
2025,V1 Legacy M15,ASIA,SHORT,TREND,18-22,1,2.9688112862144767,2.9688112862144767,100.0
2025,V1 Legacy M15,OTHER,LONG,TREND,18-22,1,2.9713209438263397,2.9713209438263397,100.0
2026,M15-0591 MTF,ASIA,LONG,MIXED,22-30,1,2.9727711425992984,2.9727711425992984,100.0
2026,Outcome First M15,LONDON,LONG,TREND,22-30,1,2.9732759644981694,2.9732759644981694,100.0
2026,M15-0591 MTF,OTHER,LONG,MIXED,22-30,1,2.974981544508133,2.974981544508133,100.0
2026,Structural Portfolio MTF,ASIA,LONG,MIXED,22-30,1,2.9761373830988735,2.9761373830988735,100.0
2025,Structural Portfolio MTF,OTHER,LONG,TREND,22-30,3,2.978570519240625,0.992856839746875,66.66666666666666
2025,Outcome First M15,LONDON,LONG,MIXED,18-22,1,2.9801894930108817,2.9801894930108817,100.0
2026,M15-0591 MTF,NEW_YORK,LONG,MIXED,18-22,1,2.9853991977310095,2.9853991977310095,100.0
2026,Structural Frequency M15,NEW_YORK,LONG,TREND,30+,1,2.9885878185278973,2.9885878185278973,100.0
2026,Structural Frequency M15,LONDON,LONG,MIXED,30+,5,3.0106886718741506,0.6021377343748301,60.0
2025,Structural Frequency M15,LONDON,SHORT,MIXED,30+,7,3.158035039091943,0.4511478627274204,57.14285714285714
2025,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,30+,5,3.332466203459357,0.6664932406918714,60.0
2024,M15-0591 MTF,NEW_YORK,SHORT,TREND,22-30,2,3.4568838549473626,1.7284419274736813,50.0
2024,V1 Legacy M15,OTHER,LONG,TREND,30+,9,3.5784172153235803,0.39760191281373114,44.44444444444444
2024,Structural Portfolio MTF,OTHER,SHORT,MIXED,18-22,3,3.708549247501865,1.2361830825006217,66.66666666666666
2024,Structural Frequency M15,NEW_YORK,LONG,MIXED,<18,5,3.767043614313966,0.7534087228627933,60.0
2026,Structural Portfolio MTF,ASIA,SHORT,MIXED,18-22,3,3.842572619839705,1.2808575399465683,66.66666666666666
2025,V1 Legacy M15,ASIA,LONG,TREND,22-30,3,3.878219267981215,1.2927397559937384,66.66666666666666
2025,V1 Legacy M15,LONDON,LONG,TREND,30+,4,3.896429468148418,0.9741073670371045,50.0
2025,M15-0591 MTF,OTHER,LONG,TREND,22-30,1,3.908650400036768,3.908650400036768,100.0
2025,V1 Legacy M15,ASIA,LONG,TREND,18-22,2,3.927181189100926,1.963590594550463,100.0
2025,M15-0591 MTF,ASIA,LONG,TREND,18-22,1,3.93843941207072,3.93843941207072,100.0
2026,M15-0591 MTF,OTHER,SHORT,TREND,30+,1,3.9618430718473445,3.9618430718473445,100.0
2024,M15-0591 MTF,OTHER,SHORT,TREND,22-30,1,3.9621256531062783,3.9621256531062783,100.0
2026,Structural Portfolio MTF,NEW_YORK,LONG,TREND,22-30,1,3.963102100326852,3.963102100326852,100.0
2026,Structural Frequency M15,LONDON,SHORT,MIXED,18-22,3,4.009920220267028,1.3366400734223427,100.0
2025,Outcome First M15,NEW_YORK,LONG,TREND,22-30,3,4.076478765912011,1.3588262553040036,100.0
2025,Structural Frequency M15,NEW_YORK,LONG,MIXED,30+,4,4.121988563075108,1.030497140768777,75.0
2024,M15-0591 MTF,OTHER,SHORT,TREND,30+,3,4.521550384923277,1.5071834616410922,66.66666666666666
2026,M15-0591 MTF,NEW_YORK,SHORT,TREND,30+,5,4.52486694040952,0.9049733880819041,60.0
2025,Structural Portfolio MTF,NEW_YORK,SHORT,MIXED,30+,5,4.618408774592626,0.9236817549185252,60.0
2024,V1 Legacy M15,ASIA,LONG,TREND,18-22,5,4.646519312293626,0.9293038624587252,60.0
2024,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,22-30,2,4.698278337616749,2.3491391688083745,100.0
2024,M15-0591 MTF,LONDON,LONG,TREND,18-22,5,4.784678914249895,0.9569357828499789,40.0
2025,M15-0591 MTF,ASIA,LONG,MIXED,<18,3,4.827860153485584,1.609286717828528,66.66666666666666
2026,Outcome First M15,LONDON,SHORT,TREND,30+,3,4.924380519033803,1.6414601730112677,66.66666666666666
2026,Outcome First M15,NEW_YORK,SHORT,TREND,22-30,3,4.934349656453837,1.6447832188179456,66.66666666666666
2026,V1 Legacy M15,NEW_YORK,SHORT,TREND,30+,3,4.946733214088086,1.6489110713626953,66.66666666666666
2024,Structural Portfolio MTF,OTHER,LONG,MIXED,30+,5,4.992413047098519,0.9984826094197038,60.0
2025,Structural Frequency M15,LONDON,LONG,MIXED,22-30,6,5.108416262330259,0.8514027103883764,66.66666666666666
2026,M15-0591 MTF,ASIA,LONG,TREND,30+,5,5.761772967976999,1.1523545935953998,60.0
2025,Outcome First M15,LONDON,LONG,TREND,18-22,4,5.832912810123078,1.4582282025307696,100.0
2025,Outcome First M15,LONDON,SHORT,MIXED,18-22,3,5.86727530102795,1.9557584336759835,100.0
2025,Structural Portfolio MTF,LONDON,SHORT,MIXED,<18,2,5.91487447464907,2.957437237324535,100.0
2026,Structural Frequency M15,LONDON,LONG,MIXED,22-30,3,5.925639618124267,1.9752132060414223,100.0
2025,Structural Portfolio MTF,ASIA,LONG,TREND,30+,3,6.785726234973412,2.2619087449911373,66.66666666666666
2025,M15-0591 MTF,LONDON,LONG,TREND,22-30,3,6.867633391007258,2.2892111303357527,66.66666666666666
2026,Structural Portfolio MTF,NEW_YORK,LONG,TREND,30+,3,6.947039604465146,2.3156798681550486,66.66666666666666
2024,M15-0591 MTF,ASIA,LONG,TREND,18-22,4,6.952730566039192,1.738182641509798,100.0
2026,Structural Portfolio MTF,NEW_YORK,LONG,MIXED,<18,2,6.964094726708289,3.4820473633541447,100.0
2025,M15-0591 MTF,ASIA,LONG,TREND,30+,5,7.891302272529432,1.5782604545058865,100.0
2026,Structural Portfolio MTF,ASIA,SHORT,TREND,30+,2,7.939011441842808,3.969505720921404,100.0
2026,V1 Legacy M15,OTHER,SHORT,TREND,30+,8,8.322428568464128,1.040303571058016,75.0
2024,M15-0591 MTF,OTHER,LONG,TREND,18-22,3,9.204401674624226,3.0681338915414087,100.0
2024,Outcome First M15,LONDON,LONG,TREND,30+,10,11.862787645309847,1.1862787645309847,60.0
