signal_i,signal_time,direction,playbook,session,mode,entry_model,entry,stop,risk,target,target_r,external_liquidity,external_liquidity_type,external_runway_r,trend_vote,day_open_aligned,d1_range_ratio20,h4_range_ratio12,route,quality_score,fresh_internal,fresh_external,trend_aligned,m15_aligned,clean_displacement,fvg_entry,entry_time,exit_time,exit_price,gross_r,cost_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
59867,2026-04-28 08:30:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4624.865,4613.819206928883,11.04579307111635,4658.002379213349,3.0,4701.015,ASIA_H,6.8940273921231805,0,False,0.7227751251222428,1.9940933254577815,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,False,True,True,2026-04-28 09:05:00+00:00,2026-04-28 09:25:00+00:00,4613.819206928883,-1.0,0.041869922514604786,-1.0418699225146049,stop,51.66301003482231,2.5831505017411156,-2.6913068130925786,48.971703221729726
60790,2026-05-01 16:25:00+00:00,-1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4640.55,4650.521440746214,9.971440746213375,4610.63567776136,3.0,4602.675,ASIA_L,3.7983477978729323,0,False,1.1922061878825287,2.694676986258055,A_STRUCTURAL_ASYMMETRIC,1,False,True,False,False,False,False,2026-05-01 16:45:00+00:00,2026-05-01 19:55:00+00:00,4610.63567776136,3.0,0.046538410226849465,2.9534615897731507,target,48.971703221729726,2.4485851610864864,7.23180222255744,56.20350544428717
61040,2026-05-04 14:15:00+00:00,1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4566.6,4552.650290395238,13.949709604762575,4608.449128814288,3.0,4618.365,ASIA_H,3.7108299360100165,0,False,0.30201921417476857,2.174656261612811,A_STRUCTURAL_ASYMMETRIC,2,False,True,False,False,True,False,2026-05-04 15:00:00+00:00,2026-05-04 15:15:00+00:00,4552.650290395238,-1.0,0.03273616533523333,-1.0327361653352334,stop,56.20350544428717,2.8101752722143587,-2.9021696345465524,53.301335809740614
61238,2026-05-05 07:45:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4551.735000000001,4558.513979363147,6.778979363146391,4531.398061910561,3.0,4527.725,H1_L,3.5418311096401145,-1,False,1.3218035824583045,1.0414386239249365,A_STRUCTURAL_ASYMMETRIC,4,True,True,False,False,True,True,2026-05-05 08:15:00+00:00,2026-05-05 09:00:00+00:00,4558.513979363147,-1.0,0.06714484225671638,-1.0671448422567165,stop,53.301335809740614,2.665066790487031,-2.844012279737896,50.45732353000272
61270,2026-05-05 10:25:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4550.110000000001,4557.110580676128,7.000580676127356,4529.1082579716185,3.0,4527.725,H1_L,3.1975918906748966,-1,False,1.3218035824583045,0.9485535574667848,A_STRUCTURAL_ASYMMETRIC,2,False,True,False,False,True,False,2026-05-05 10:35:00+00:00,2026-05-05 11:30:00+00:00,4557.110580676128,-1.0,0.06499617975286404,-1.064996179752864,stop,50.45732353000272,2.522866176500136,-2.6868428400003594,47.77048069000236
61507,2026-05-06 07:10:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4662.6515,4670.642130148141,7.990630148141463,4638.679609555576,3.0,4588.015,ASIA_L,9.340502390460317,0,False,0.9226795440507585,1.9432926829268389,A_STRUCTURAL_ASYMMETRIC,3,True,True,False,False,True,False,2026-05-06 07:25:00+00:00,2026-05-06 07:50:00+00:00,4670.642130148141,-1.0,0.058351486848436905,-1.058351486848437,stop,47.77048069000236,2.388524034500118,-2.5278979632864274,45.24258272671593
63172,2026-05-14 07:55:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4702.0,4719.196800606129,17.196800606128818,4650.409598181614,3.0,4500.665,PWL,11.707701020167999,0,False,0.6409766537619032,1.036204744069908,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,False,True,True,2026-05-14 08:30:00+00:00,2026-05-14 20:05:00+00:00,4650.409598181614,3.0,0.027342295277438065,2.972657704722562,target,45.24258272671593,2.2621291363357967,6.724535606206001,51.967118332921935
63474,2026-05-15 10:05:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4552.41,4530.929557234585,21.48044276541441,4616.851328296243,3.0,4658.125,ASIA_H,4.921453489320598,0,False,0.8702240211831529,1.994190490750662,A_STRUCTURAL_ASYMMETRIC,3,True,True,False,False,True,False,2026-05-15 10:30:00+00:00,2026-05-15 13:40:00+00:00,4530.929557234585,-1.0,0.02119327822855598,-1.021193278228556,stop,51.967118332921935,2.598355916646097,-2.653423596524392,49.313694736397544
64568,2026-05-21 09:15:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4536.095,4527.303857126452,8.79114287354787,4562.468428620644,3.0,4570.725,ASIA_H,3.9391920365894784,1,False,0.9927123889388039,0.9420662382599866,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,False,True,True,2026-05-21 09:30:00+00:00,2026-05-21 10:30:00+00:00,4527.303857126452,-1.0,0.05159846751722002,-1.05159846751722,stop,49.313694736397544,2.4656847368198775,-2.592910290620383,46.72078444577716
64623,2026-05-21 13:50:00+00:00,1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4508.795,4487.497823964864,21.297176035135635,4551.389352070271,2.0,4552.585,PDH,2.0561411488432144,0,False,0.9927123889388039,1.2499588070522318,A_STRUCTURAL_ASYMMETRIC,3,True,True,False,False,True,False,2026-05-21 14:05:00+00:00,2026-05-21 17:50:00+00:00,4551.389352070271,2.0,0.02117085848640911,1.9788291415135908,target,46.72078444577716,2.3360392222888584,4.6226224887839376,51.3434069345611
