year,variant,month,trades,pnl_rm,ending_balance_rm
2025,COMBINED_GUARD,2025-11,21,88.21142385817939,429.8081735252652
2025,COMBINED_GUARD,2025-12,31,438.73295869668635,868.5411322219516
2026,BASELINE,2026-01,35,148.13182261243534,248.13182261243534
2026,BASELINE,2026-02,27,-23.87688040356082,224.25494220887452
2026,BASELINE,2026-03,35,280.3034225821501,504.55836479102464
2026,BASELINE,2026-04,34,-25.446860767686815,479.11150402333783
2026,BASELINE,2026-05,33,-55.96380790214238,423.14769612119545
2026,BASELINE,2026-06,33,588.7470120478388,1011.8947081690342
2026,BASELINE,2026-07,34,-284.6300317749768,727.2646763940573
2026,BASELINE,2026-08,31,353.82331707802643,1081.0879934720838
2026,BASELINE,2026-09,22,-238.8034235873398,842.284569884744
2026,NO_DOUBLE_OPPOSE,2026-01,35,148.13182261243534,248.13182261243534
2026,NO_DOUBLE_OPPOSE,2026-02,25,-42.656148506937,205.47567410549834
2026,NO_DOUBLE_OPPOSE,2026-03,35,256.83061493244696,462.3062890379453
2026,NO_DOUBLE_OPPOSE,2026-04,34,-23.315922577256345,438.99036646068896
2026,NO_DOUBLE_OPPOSE,2026-05,30,56.14038352092405,495.130749981613
2026,NO_DOUBLE_OPPOSE,2026-06,33,688.9007131476574,1184.0314631292704
2026,NO_DOUBLE_OPPOSE,2026-07,34,-333.04938770048386,850.9820754287865
2026,NO_DOUBLE_OPPOSE,2026-08,30,482.3994909894237,1333.3815664182102
2026,NO_DOUBLE_OPPOSE,2026-09,22,-294.5329935505765,1038.8485728676337
2026,LONDON_CONSENSUS,2026-01,30,259.38858596198264,359.38858596198264
2026,LONDON_CONSENSUS,2026-02,20,-70.38492426147997,289.0036617005027
2026,LONDON_CONSENSUS,2026-03,30,288.02209607501925,577.0257577755219
2026,LONDON_CONSENSUS,2026-04,30,-160.4890923119583,416.5366654635636
2026,LONDON_CONSENSUS,2026-05,27,-19.866986622635068,396.66967884092855
2026,LONDON_CONSENSUS,2026-06,27,470.89081821606055,867.5604970569891
2026,LONDON_CONSENSUS,2026-07,26,-79.78124914790521,787.7792479090839
2026,LONDON_CONSENSUS,2026-08,27,254.50491944446037,1042.2841673535443
2026,LONDON_CONSENSUS,2026-09,20,-179.0339039669924,863.2502633865519
2026,NARROW_CONFIRM,2026-01,35,148.13182261243534,248.13182261243534
2026,NARROW_CONFIRM,2026-02,23,-19.91595582688123,228.2158667855541
2026,NARROW_CONFIRM,2026-03,31,213.957285431689,442.1731522172431
2026,NARROW_CONFIRM,2026-04,32,-89.62933265420588,352.54381956303723
2026,NARROW_CONFIRM,2026-05,28,-14.76361546986601,337.7802040931712
2026,NARROW_CONFIRM,2026-06,29,387.0730143502214,724.8532184433926
2026,NARROW_CONFIRM,2026-07,29,-45.21443186694853,679.6387865764441
2026,NARROW_CONFIRM,2026-08,29,406.6758498470165,1086.3146364234606
2026,NARROW_CONFIRM,2026-09,19,-268.1800332867567,818.1346031367038
2026,COMBINED_GUARD,2026-01,32,167.17723834968473,267.1772383496847
2026,COMBINED_GUARD,2026-02,22,-8.137842674663602,259.0393956750211
2026,COMBINED_GUARD,2026-03,28,205.74072707528694,464.78012275030807
2026,COMBINED_GUARD,2026-04,29,-55.51524959467429,409.2648731556338
2026,COMBINED_GUARD,2026-05,27,-19.278743783668062,389.9861293719657
2026,COMBINED_GUARD,2026-06,28,332.92429660010714,722.9104259720729
2026,COMBINED_GUARD,2026-07,25,-125.46203551466078,597.4483904574121
2026,COMBINED_GUARD,2026-08,27,231.6967099242912,829.1451003817033
2026,COMBINED_GUARD,2026-09,18,-199.23096758166707,629.9141328000362
